family,cat_attr_cos,cat_rel_cos,attr_rel_cos,mean_abs_pairwise_cos,cat_global_cos,attr_global_cos,rel_global_cos,cat_norm,attr_norm,rel_norm
headnorm_contrast_l0p75,0.19892005817724984,-0.3206059047381767,-0.18490766549820023,0.23481120947120893,0.5293476127310448,0.5949422111604357,0.4124686670713066,14.75117015838623,13.79328727722168,16.73194122314453
pca_remove3,0.18874238301948568,0.085147932709323,0.48314699173806164,0.25234576915562346,0.3841672897557378,0.7616470874663721,0.8917683956751709,0.000874938617926091,0.001320376293733716,0.002364368876442313
pca_remove5,0.18874238301948568,0.085147932709323,0.48314699173806164,0.25234576915562346,0.3841672897557378,0.7616470874663721,0.8917683956751709,0.000874938617926091,0.001320376293733716,0.002364368876442313
contrast_l0p75,0.12276529461489676,-0.44881993652693775,-0.26553860042831856,0.279041277190051,0.48288331561775394,0.529195682617397,0.32234503499622635,14.409802436828613,12.118383407592773,15.618234634399414
contrast_l0p5,0.5305892507381151,0.11265734849837765,0.2660090755940626,0.30308522494351847,0.7502890884284863,0.8013676141657269,0.6425155961194051,17.351537704467773,15.627012252807617,17.540067672729492
headnorm_contrast_l0p5,0.6241957266505423,0.29915796647977916,0.39399757632281457,0.4391170898177121,0.8048949529094219,0.8429735086119615,0.7254981798728694,19.172393798828125,18.73525047302246,20.13393211364746
contrast_l1,-0.17649369573531848,-0.7304888468566275,-0.5432826386673687,0.4834217270864382,0.007434694770117245,0.014118950515140442,-0.01613725976716963,13.794831275939941,11.221314430236816,16.173267364501953
global_residual,-0.1786952933802536,-0.729212076564422,-0.5429743103161989,0.48362722675362485,0.0001657658776522141,0.00032154343358031925,-0.0003512625928609193,9.177047729492188,7.478146553039551,10.752409934997559
headnorm_contrast_l1,-0.16919202312307285,-0.6971042391471735,-0.5886916976671157,0.48499598664578736,-0.005029003073614913,0.0028038662026004875,0.0020851048461052496,13.653942108154297,12.110328674316406,16.647432327270508
pca_remove1,-0.21656452134772264,-0.7227236353542521,-0.5182253677534361,0.4858378414851369,-0.8336755747217024,-0.358587422898068,0.9841884046396674,9.000262260437012,7.401165962219238,10.948001861572266
contrast_l0p25,0.7665796302965838,0.5262516551702799,0.6227781916856433,0.6385364923841691,0.8794933618311443,0.9114098285882607,0.8226870574084364,21.69328498840332,20.444133758544922,21.277944564819336
headnorm_contrast_l0p25,0.8270631739433665,0.659673389724545,0.7101036762513888,0.7322800799731001,0.9139166498970914,0.9322953318075373,0.8729099587912732,25.226619720458984,25.078351974487305,25.56146812438965
raw,0.8814711040321195,0.7525294454765239,0.8071620896549587,0.8137208797212008,0.9393699852218022,0.9572379470342748,0.9109272108399495,26.762083053588867,25.84827423095703,26.061777114868164
pca_remove2,-1.0000040279461078,1.0000031154565643,-1.0000032013363658,1.000003448246346,-0.9583113867745583,0.9583708857277838,-0.9579801423179398,5.109317302703857,6.858280658721924,1.7374547719955444
